Code,Name
CC29,Harbourfront
NE1,Harbourfront
NE3,Outram Park
EW16,Outram Park
TE17,Outram Park
NE4,Chinatown
DT19,Chinatown
NS24,Dhoby Ghaut
NE6,Dhoby Ghaut
CC1,Dhoby Ghaut
NE7,Little India
DT12,Little India
NE8,Farrer Park
NE9,Boon Keng
NE10,Potong Pasir
NE11,Woodleigh
NE12,Serangoon
CC13,Serangoon
NE13,Kovan
NE14,Hougang
NE15,Buangkok
NE16,Sengkang
STC,Sengkang
NE17,Punggol
PTC,Punggol
NE18,Punggol Coast
PE1,Cove
PE2,Meridian
PE3,Coral Edge
PE4,Riviera
PE5,Kadaloor
PE6,Oasis
PE7,Damai
PW1,Sam Kee
PW2,Teck Lee
PW3,Punggol Point
PW4,Samudera
PW5,Nibong
PW6,Sumang
PW7,Soo Teck
SE1,Compassvale
SE2,Rumbia
SE3,Bakau
SE4,Kangkar
SE5,Ranggung
SW1,Cheng Lim
SW2,Farmway
SW3,Kupang
SW4,Thanggam
SW5,Fernvale
SW6,Layar
SW7,Tongkang
SW8,Renjong
CC2,Bras Basah
CC3,Esplanade
CC4,Promenade
CC5,Nicoll Highway
CC6,Stadium
CC7,Mountbatten
CC8,Dakota
CC9,Paya Lebar
EW8,Paya Lebar
CC10,MacPherson
DT26,MacPherson
CC11,Tai Seng
CC12,Bartley
CC14,Lorong Chuan
CC15,Bishan
NS17,Bishan
CC16,Marymount
CC17,Caldecott
TE9,Caldecott
CC19,Botanic Gardens
DT9,Botanic Gardens
CC20,Farrer Road
CC21,Holland Village
CC22,Buona Vista
EW21,Buona Vista
CC23,One-North
CC24,Kent Ridge
CC25,Haw Par Villa
CC26,Pasir Panjang
CC27,Labrador Park
CC28,Telok Blangah
CE1,Bayfront
CE2,Marina Bay
TE20,Marina Bay
NS27,Marina Bay
NS2,Bukit Batok
NS3,Bukit Gombak
NS4,Choa Chu Kang
BP1,Choa Chu Kang
BP2,South View
BP3,Keat Hong
BP4,Teck Whye
BP5,Phoenix
BP6,Bukit Panjang
DT1,Bukit Panjang
BP7,Petir
BP8,Pending
BP9,Bangkit
BP10,Fajar
BP11,Segar
BP12,Jelapang
BP13,Senja
NS5,Yew Tee
NS7,Kranji
NS8,Marsiling
NS9,Woodlands
TE2,Woodlands
NS10,Admiralty
NS11,Sembawang
NS12,Canberra
NS13,Yishun
NS14,Khatib
NS15,Yio Chu Kang
NS16,Ang Mo Kio
NS18,Braddell
NS19,Toa Payoh
NS20,Novena
DT11,Newton
NS21,Newton
NS22,Orchard
TE14,Orchard
NS23,Somerset
NS28,Marina South Pier
CG1,Expo
DT35,Expo
CG2,Changi Airport
CG,Tanah Merah
EW4,Tanah Merah
EW1,Pasir Ris
EW2,Tampines
DT32,Tampines
EW3,Simei
EW5,Bedok
EW6,Kembangan
EW7,Eunos
EW9,Aljunied
EW10,Kallang
EW11,Lavender
EW12,Bugis
DT14,Bugis
EW13,City Hall
NS25,City Hall
EW14,Raffles Place
NS26,Raffles Place
EW15,Tanjong Pagar
EW17,Tiong Bahru
EW18,Redhill
EW19,Queenstown
EW20,Commonwealth
EW22,Dover
EW23,Clementi
EW24,Jurong East
NS1,Jurong East
EW25,Chinese Garden
EW26,Lakeside
EW27,Boon Lay
EW28,Pioneer
EW29,Joo Koon
EW30,Gul Circle
EW31,Tuas Crescent
EW32,Tuas West Road
EW33,Tuas Link
TE1,Woodlands North
TE3,Woodlands South
TE4,Springleaf
TE5,Lentor
TE6,Mayflower
TE7,Bright Hill
TE8,Upper Thomson
TE11,Stevens
DT10,Stevens
TE12,Napier
TE13,Orchard Boulevard
TE15,Great World
TE16,Havelock
TE18,Maxwell
TE19,Shenton Way
TE22,Gardens by the Bay
TE23,Tanjong Rhu
TE24,Katong Park
TE25,Tanjong Katong
TE26,Marine Parade
TE27,Marine Terrace
TE28,Siglap
TE29,Bayshore
DT2,Cashew
DT3,Hillview
DT4,Hume
DT5,Beauty World
DT6,King Albert Park
DT7,Sixth Avenue
DT8,Tan Kah Kee
DT13,Rochor
DT15,Promenade
DT16,Bayfront
DT17,Downtown
DT18,Telok Ayer
DT20,Fort Canning
DT21,Bencoolen
DT22,Jalan Besar
DT23,Bendemeer
DT24,Geylang Bahru
DT25,Mattar
DT27,Ubi
DT28,Kaki Bukit
DT29,Bedok North
DT30,Bedok Reservoir
DT31,Tampines West
DT33,Tampines East
DT34,Upper Changi
